iter	Passed	Remaining
0	2	211
1	3	159
2	4	142
3	5	126
4	6	121
5	7	116
6	9	120
7	10	116
8	11	112
9	12	110
10	13	108
11	14	106
12	15	104
13	16	102
14	17	101
15	18	99
16	19	97
17	21	95
18	22	93
19	23	94
20	24	93
21	25	91
22	26	90
23	27	88
24	28	86
25	29	85
26	31	83
27	32	83
28	33	81
29	34	80
30	35	79
31	36	77
32	37	77
33	39	76
34	40	75
35	41	73
36	42	72
37	43	71
38	44	70
39	46	69
40	47	68
41	48	66
42	49	65
43	50	64
44	51	62
45	53	62
46	54	61
47	55	59
48	56	58
49	57	57
50	58	55
51	59	54
52	60	53
53	61	52
54	62	51
55	63	49
56	64	48
57	65	47
58	67	46
59	68	45
60	69	44
61	70	43
62	71	42
63	72	40
64	74	39
65	75	38
66	76	37
67	77	36
68	78	35
69	79	34
70	80	32
71	81	31
72	83	30
73	84	29
74	85	28
75	86	27
76	87	26
77	88	25
78	89	23
79	90	22
80	92	21
81	93	20
82	94	19
83	95	18
84	96	17
85	98	15
86	99	14
87	100	13
88	102	12
89	103	11
90	104	10
91	105	9
92	106	8
93	108	6
94	109	5
95	110	4
96	112	3
97	113	2
98	114	1
99	116	0
