iter	Passed	Remaining
0	144	144668
1	146	73024
2	148	49259
3	149	37244
4	151	30070
5	155	25774
6	156	22251
7	158	19612
8	159	17555
9	160	15901
10	161	14552
11	163	13490
12	167	12744
13	169	11944
14	171	11241
15	172	10626
16	173	10059
17	175	9555
18	176	9137
19	179	8798
20	180	8429
21	182	8093
22	183	7782
23	184	7502
24	185	7238
25	186	6991
26	187	6765
27	188	6554
28	189	6357
29	191	6180
30	193	6037
31	194	5877
32	195	5727
33	196	5585
34	197	5451
35	198	5325
36	199	5204
37	201	5098
38	202	4994
39	203	4890
40	204	4793
41	206	4713
42	207	4623
43	208	4537
44	209	4454
45	211	4378
46	212	4304
47	213	4231
48	214	4164
49	215	4097
50	216	4033
51	217	3971
52	219	3917
53	223	3917
54	225	3882
55	227	3830
56	228	3780
57	229	3731
58	231	3684
59	232	3638
60	238	3665
61	239	3627
62	241	3586
63	242	3547
64	243	3504
65	244	3463
66	245	3423
67	246	3384
68	248	3354
69	251	3341
70	253	3319
71	254	3285
72	256	3253
73	257	3219
74	258	3186
75	259	3154
76	260	3123
77	261	3092
78	262	3063
79	263	3034
80	265	3016
81	268	3000
82	268	2967
83	269	2941
84	270	2915
85	271	2890
86	273	2865
87	274	2841
88	275	2818
89	276	2795
90	277	2772
91	278	2750
92	281	2742
93	282	2726
94	284	2705
95	285	2686
96	286	2668
97	287	2649
98	289	2633
99	290	2614
100	291	2595
101	292	2576
102	293	2558
103	296	2554
104	297	2536
105	298	2518
106	299	2501
107	300	2484
108	301	2468
109	303	2457
110	305	2444
111	306	2428
112	307	2413
113	308	2397
114	311	2393
115	312	2379
116	313	2363
117	314	2348
118	315	2334
119	316	2320
120	318	2310
121	319	2297
122	320	2284
123	321	2271
124	322	2258
125	324	2250
126	326	2241
127	327	2229
128	328	2217
129	329	2204
130	330	2192
131	332	2183
132	333	2173
133	334	2161
134	335	2151
135	336	2139
136	337	2128
137	340	2128
138	341	2117
139	342	2106
140	344	2096
141	344	2083
142	345	2073
143	347	2062
144	348	2052
145	349	2042
146	350	2032
147	351	2022
148	352	2013
149	354	2010
150	356	2002
151	357	1993
152	358	1984
153	359	1975
154	360	1966
155	361	1957
156	362	1948
157	363	1939
158	365	1930
159	366	1922
160	366	1911
161	367	1903
162	370	1903
163	371	1895
164	372	1886
165	374	1883
166	376	1876
167	377	1870
168	378	1863
169	380	1859
170	382	1853
171	386	1861
172	388	1858
173	390	1853
174	391	1847
175	393	1840
176	394	1832
177	395	1826
178	396	1819
179	398	1813
180	400	1811
181	401	1806
182	403	1799
183	404	1792
184	405	1785
185	406	1777
186	407	1770
187	408	1764
188	409	1757
189	410	1750
190	411	1743
191	415	1747
192	417	1744
193	418	1739
194	420	1736
195	422	1731
196	423	1725
197	424	1719
198	425	1714
199	429	1719
200	432	1718
201	433	1713
202	434	1707
203	436	1701
204	437	1696
205	438	1690
206	440	1685
207	444	1692
208	446	1688
209	447	1682
210	448	1676
211	449	1670
212	450	1664
213	451	1658
214	452	1652
215	453	1647
216	454	1641
217	455	1635
218	457	1629
219	460	1631
220	462	1628
221	463	1623
222	464	1618
223	465	1613
224	467	1610
225	468	1604
226	469	1599
227	471	1595
228	472	1591
229	475	1590
230	476	1585
231	477	1581
232	479	1576
233	480	1571
234	481	1566
235	482	1561
236	483	1556
237	484	1550
238	485	1545
239	486	1540
240	489	1543
241	491	1538
242	492	1533
243	493	1528
244	494	1523
245	495	1518
246	496	1513
247	497	1508
248	498	1503
249	499	1498
250	500	1494
251	501	1489
252	504	1490
253	505	1485
254	507	1481
255	508	1477
256	509	1473
257	510	1469
258	511	1464
259	513	1460
260	514	1455
261	515	1452
262	516	1448
263	518	1445
264	519	1441
265	520	1436
266	521	1432
267	522	1428
268	523	1423
269	524	1419
270	526	1415
271	527	1410
272	528	1407
273	529	1404
274	532	1403
